division,date,value
Hawaiʻi::Leeward Kohala,2023-12,67.48794999503795
Hawaiʻi::Windward Kohala,2023-12,63.78531077844311
Kauaʻi::Leeward Kauaʻi,2023-12,67.88124843765624
Kauaʻi::Windward Kauaʻi,2023-12,68.6320626009965
Maui::Leeward Maui Nui,2023-12,69.54502469300587
Maui::Windward Maui Nui,2023-12,67.10434945239092
Oʻahu::Koʻolau,2023-12,70.34025327956036
Oʻahu::Waianae,2023-12,71.85579108391607
Hawaiʻi::Hawaiʻi Mauka,2024-01,51.76148199751577
Hawaiʻi::Hilo,2024-01,64.51075861964307
Hawaiʻi::Kaʻu,2024-01,64.21367246649095
Hawaiʻi::Kona,2024-01,62.6269747393745
Hawaiʻi::Leeward Kohala,2024-01,67.47668771398799
Hawaiʻi::Windward Kohala,2024-01,63.91264730538922
Kauaʻi::Leeward Kauaʻi,2024-01,66.82810343965605
Kauaʻi::Windward Kauaʻi,2024-01,67.58830544707783
Maui::Leeward Maui Nui,2024-01,69.09422717565403
Maui::Windward Maui Nui,2024-01,66.75588156083549
Oʻahu::Koʻolau,2024-01,70.04569114518702
Oʻahu::Waianae,2024-01,71.49093094405595
Hawaiʻi::Hawaiʻi Mauka,2024-02,48.472865729088355
Hawaiʻi::Hilo,2024-02,61.658052082068714
Hawaiʻi::Kaʻu,2024-02,61.257015871235495
Hawaiʻi::Kona,2024-02,59.23787089013633
Hawaiʻi::Leeward Kohala,2024-02,65.15825993648588
Hawaiʻi::Windward Kohala,2024-02,60.95553293413174
Kauaʻi::Leeward Kauaʻi,2024-02,66.19513486151385
Kauaʻi::Windward Kauaʻi,2024-02,66.99106012658228
Maui::Leeward Maui Nui,2024-02,66.66808929524827
Maui::Windward Maui Nui,2024-02,63.80390283679454
Oʻahu::Koʻolau,2024-02,68.50828421379188
Oʻahu::Waianae,2024-02,70.24012966200466
Hawaiʻi::Hawaiʻi Mauka,2024-03,48.94993442127284
Hawaiʻi::Hilo,2024-03,63.33231759135607
Hawaiʻi::Kaʻu,2024-03,63.01041584880264
Hawaiʻi::Kona,2024-03,61.22373195669607
Hawaiʻi::Leeward Kohala,2024-03,66.6891598025108
Hawaiʻi::Windward Kohala,2024-03,62.67001946107784
Kauaʻi::Leeward Kauaʻi,2024-03,67.17013673632637
Kauaʻi::Windward Kauaʻi,2024-03,67.9384211722327
Maui::Leeward Maui Nui,2024-03,68.33068606513615
Maui::Windward Maui Nui,2024-03,65.63360838470285
Oʻahu::Koʻolau,2024-03,69.5983286429711
Oʻahu::Waianae,2024-03,71.35168269230769
Hawaiʻi::Hawaiʻi Mauka,2024-04,51.25319476677672
Hawaiʻi::Hilo,2024-04,65.02612525798227
Hawaiʻi::Kaʻu,2024-04,64.7412161404296
Hawaiʻi::Kona,2024-04,63.04204089815558
Hawaiʻi::Leeward Kohala,2024-04,68.24864660348335
Hawaiʻi::Windward Kohala,2024-04,64.41456706586825
Kauaʻi::Leeward Kauaʻi,2024-04,68.57266617088291
Kauaʻi::Windward Kauaʻi,2024-04,69.34456133854027
Maui::Leeward Maui Nui,2024-04,69.74234516817938
Maui::Windward Maui Nui,2024-04,67.00948291339996
Oʻahu::Koʻolau,2024-04,70.82342891331325
Oʻahu::Waianae,2024-04,72.47990967365968
Hawaiʻi::Hawaiʻi Mauka,2024-05,52.56884683587749
Hawaiʻi::Hilo,2024-05,66.0174919570232
Hawaiʻi::Kaʻu,2024-05,65.70747574448993
Hawaiʻi::Kona,2024-05,64.0174193063352
Hawaiʻi::Leeward Kohala,2024-05,69.17334267850941
Hawaiʻi::Windward Kohala,2024-05,65.39024520958084
Kauaʻi::Leeward Kauaʻi,2024-05,69.75754674532547
Kauaʻi::Windward Kauaʻi,2024-05,70.5377415499596
Maui::Leeward Maui Nui,2024-05,71.30693739989323
Maui::Windward Maui Nui,2024-05,68.60134882398708
Oʻahu::Koʻolau,2024-05,72.13080016840985
Oʻahu::Waianae,2024-05,73.67185314685315
Hawaiʻi::Hawaiʻi Mauka,2024-06,54.77892777759618
Hawaiʻi::Hilo,2024-06,67.33613345271337
Hawaiʻi::Kaʻu,2024-06,67.00049387303011
Hawaiʻi::Kona,2024-06,65.38210455092221
Hawaiʻi::Leeward Kohala,2024-06,70.28945566416911
Hawaiʻi::Windward Kohala,2024-06,66.70573532934132
Kauaʻi::Leeward Kauaʻi,2024-06,72.32433756624337
Kauaʻi::Windward Kauaʻi,2024-06,73.10455115472664
Maui::Leeward Maui Nui,2024-06,73.04090363053925
Maui::Windward Maui Nui,2024-06,70.555155155904
Oʻahu::Koʻolau,2024-06,74.05137719375998
Oʻahu::Waianae,2024-06,75.66715472027971
Hawaiʻi::Hawaiʻi Mauka,2024-07,55.60846680613212
Hawaiʻi::Hilo,2024-07,68.19540108656065
Hawaiʻi::Kaʻu,2024-07,67.8270953676182
Hawaiʻi::Kona,2024-07,66.12018344025662
Hawaiʻi::Leeward Kohala,2024-07,71.24021268545627
Hawaiʻi::Windward Kohala,2024-07,67.53433353293414
Kauaʻi::Leeward Kauaʻi,2024-07,73.18865050994901
Kauaʻi::Windward Kauaʻi,2024-07,73.98899264408834
Maui::Leeward Maui Nui,2024-07,74.03647891083823
Maui::Windward Maui Nui,2024-07,71.52662487282302
Oʻahu::Koʻolau,2024-07,74.91030900992732
